epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.099,1.0561,3.2905,1.16716,0.00798,0.22826,0.20341,0.1619,0.88097,3.7717,0.91352,0.0003125,0.0003125,0.0003125
2,548.365,1.10514,1.78976,1.11086,1,0.05294,0.31216,0.21014,1.06061,3.53696,1.08788,0.000621722,0.000621722,0.000621722
3,788.603,1.16022,1.31521,1.17953,0.93299,0.04348,0.21472,0.10455,1.16016,3.58485,1.22712,0.000914856,0.000914856,0.000914856
4,1075.04,1.21438,1.37439,1.23957,0.97565,0.11957,0.2133,0.13175,1.22191,3.11161,1.41043,0.00115719,0.00115719,0.00115719
5,1343.1,1.19948,1.27637,1.24742,0.50601,0.39581,0.52146,0.37291,1.17462,2.3134,1.23884,0.00112625,0.00112625,0.00112625
6,1422.67,1.14099,1.18549,1.15324,0.63651,0.71311,0.80333,0.53142,1.18491,2.14738,1.19481,0.00109531,0.00109531,0.00109531
7,1502.46,1.142,1.09783,1.15807,0.60315,0.67359,0.77968,0.52255,1.07188,1.56098,1.08515,0.00106437,0.00106437,0.00106437
8,1580.06,1.06267,1.05037,1.13135,0.90666,0.50216,0.80252,0.54486,1.16035,1.5818,1.16612,0.00103344,0.00103344,0.00103344
9,1659.02,1.05619,1.01411,1.1593,0.78609,0.7422,0.81715,0.5472,1.15413,1.33163,1.11914,0.0010025,0.0010025,0.0010025
10,1737.52,1.0012,0.94339,1.11506,0.78286,0.73879,0.83225,0.55196,1.14546,1.36736,1.11418,0.000971562,0.000971562,0.000971562
11,1816.13,0.97763,0.91833,1.11541,0.8468,0.78173,0.85707,0.63801,0.98088,1.20531,1.04332,0.000940625,0.000940625,0.000940625
12,1894.82,0.97839,0.89101,1.10097,0.93388,0.72569,0.87515,0.64147,1.00779,1.00471,1.04485,0.000909688,0.000909688,0.000909688
13,1958.06,0.94843,0.89951,1.1134,0.89424,0.80463,0.88532,0.66646,1.00309,0.96606,1.01207,0.00087875,0.00087875,0.00087875
14,1999.5,0.93263,0.78491,1.05954,0.85812,0.8327,0.90003,0.69483,0.95037,0.94168,0.98452,0.000847813,0.000847813,0.000847813
15,2040.74,0.90681,0.78752,1.08047,0.86664,0.83441,0.86056,0.63981,0.94198,0.98261,0.98758,0.000816875,0.000816875,0.000816875
16,2081.3,0.85939,0.76765,1.06311,0.85776,0.83277,0.84809,0.6305,0.96044,0.95289,0.97809,0.000785938,0.000785938,0.000785938
17,2122.03,0.85216,0.75379,1.0717,0.84021,0.76352,0.85453,0.60147,0.98428,0.95846,1.01299,0.000755,0.000755,0.000755
18,2163.04,0.86806,0.75934,1.07184,0.79385,0.85179,0.88968,0.63504,1.00882,0.94776,1.03035,0.000724062,0.000724062,0.000724062
19,2203.77,0.82071,0.71024,1.04782,0.77624,0.8592,0.87999,0.65545,0.89798,0.94946,0.98161,0.000693125,0.000693125,0.000693125
20,2244.86,0.83501,0.6948,1.04855,0.88506,0.83697,0.8866,0.68478,0.91263,0.8771,0.98723,0.000662188,0.000662188,0.000662188
21,2285.67,0.7671,0.67508,1.02415,0.90439,0.8398,0.89043,0.69501,0.91566,0.88332,0.9926,0.00063125,0.00063125,0.00063125
22,2326.57,0.78648,0.67952,1.03101,0.94112,0.85267,0.91499,0.6987,0.88235,0.78251,0.96493,0.000600313,0.000600313,0.000600313
23,2367.68,0.76245,0.6419,1.00913,0.9003,0.89448,0.93078,0.72222,0.86595,0.71344,0.95486,0.000569375,0.000569375,0.000569375
24,2409.82,0.74285,0.63214,1.02292,0.86987,0.8858,0.93782,0.72783,0.86642,0.74066,0.96294,0.000538438,0.000538438,0.000538438
25,2450.81,0.74498,0.61915,1.00619,0.87156,0.87311,0.94434,0.73542,0.82579,0.72859,0.92665,0.0005075,0.0005075,0.0005075
26,2491.91,0.73604,0.61025,1.03808,0.89561,0.8951,0.94485,0.7381,0.82297,0.70548,0.91485,0.000476562,0.000476562,0.000476562
27,2532.86,0.68595,0.58054,0.98838,0.91781,0.90346,0.94425,0.74404,0.85353,0.65438,0.92694,0.000445625,0.000445625,0.000445625
28,2573.84,0.70105,0.58322,0.98768,0.93551,0.87945,0.92066,0.73418,0.81769,0.6469,0.91018,0.000414688,0.000414688,0.000414688
29,2614.55,0.71781,0.58058,0.99057,0.9374,0.86096,0.91666,0.73806,0.79546,0.67024,0.90124,0.00038375,0.00038375,0.00038375
30,2655.74,0.69668,0.57718,1.02353,0.92416,0.85993,0.9215,0.72338,0.80756,0.68347,0.90985,0.000352812,0.000352812,0.000352812
31,2696.28,0.68081,0.64544,0.92854,0.93958,0.85936,0.91951,0.71343,0.84612,0.73453,0.92829,0.000321875,0.000321875,0.000321875
32,2736.9,0.68682,0.59543,0.90761,0.94295,0.86747,0.92287,0.7299,0.8214,0.74309,0.91502,0.000290937,0.000290937,0.000290937
33,2777.95,0.61646,0.57411,0.90942,0.93967,0.88822,0.9297,0.75451,0.76037,0.71226,0.89124,0.00026,0.00026,0.00026
34,2819.26,0.61455,0.5272,0.89545,0.91884,0.88549,0.93015,0.74473,0.77423,0.69495,0.89238,0.000229063,0.000229063,0.000229063
35,2859.9,0.57758,0.51307,0.88917,0.9109,0.90113,0.94111,0.7617,0.74587,0.66294,0.88348,0.000198125,0.000198125,0.000198125
36,2900.89,0.5363,0.48093,0.8703,0.90047,0.91323,0.94471,0.76761,0.72274,0.64915,0.87487,0.000167188,0.000167188,0.000167188
37,2941.76,0.57117,0.48718,0.90257,0.89934,0.90708,0.94527,0.76447,0.72026,0.65012,0.8746,0.00013625,0.00013625,0.00013625
38,2982.27,0.53975,0.47031,0.87708,0.91825,0.90871,0.94674,0.76581,0.71444,0.63854,0.8712,0.000105312,0.000105312,0.000105312
39,3022.7,0.55603,0.47833,0.88444,0.91843,0.90835,0.94773,0.76605,0.71112,0.62399,0.87192,7.4375e-05,7.4375e-05,7.4375e-05
40,3063.07,0.5563,0.46831,0.87829,0.91933,0.911,0.94824,0.76855,0.71306,0.62228,0.87357,4.34375e-05,4.34375e-05,4.34375e-05
